"wdpaid","wdpa_pid","name","iso3","country","2004","2005","2006","2007","2008","2010","2011","2012","2013","2014","2015","2016","2017"
378,"378","Crowdy Bay","AUS","Australia",NA,NA,NA,NA,NA,NA,3.35,NA,NA,NA,NA,NA,NA
384,"384","Hat Head","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,"391","Bouddi","AUS","Australia",NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA
393,"393","Kakadu","AUS","Australia",19804,19804,19804,19804,NA,NA,473.1,NA,NA,NA,NA,NA,NA
398,"398","Lakefield","AUS","Australia",5370,5370,5370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,"404","Bowling Green Bay","AUS","Australia",579,579,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,"406","Whitsunday Islands","AUS","Australia",170,170,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,"409","Hinchinbrook Island","AUS","Australia",404,404,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,"410","Cape Melville (Cape York Peninsula Aboriginal Land)","AUS","Australia",1370,1370,1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"414","Cooloola (Noosa River)","AUS","Australia",1.17,1.17,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,"429","Edmund Kennedy","AUS","Australia",69.5,69.5,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"430","Cedar Bay","AUS","Australia",56.5,56.5,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,"431","Cape Upstart","AUS","Australia",84.8,84.8,84.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,"432","Eurimbula","AUS","Australia",140,140,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,"446","Magnetic Island","AUS","Australia",27.9,27.9,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,"447","Endeavour River","AUS","Australia",21.7,21.7,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,"451","Clump Mountain","AUS","Australia",2.82,2.82,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,"456","Orpheus Island","AUS","Australia",13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,"458","Cape Hillsborough","AUS","Australia",8.18,8.18,8.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,"460","Lizard Island","AUS","Australia",9.91,9.91,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,"462","Hull River","AUS","Australia",32.4,32.4,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,"463","Grey Peaks","AUS","Australia",9.2,9.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,"465","Possession Island","AUS","Australia",5.08,5.08,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,"485","Lincoln","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,"491","Innes","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,"503","Nuyts Archipelago","AUS","Australia",NA,NA,NA,NA,98.78,NA,NA,NA,NA,NA,NA,NA,NA
505,"505","Little Dip","AUS","Australia",NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA
508,"508","Kellidie Bay","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510,"510","Deep Creek","AUS","Australia",NA,NA,NA,NA,44.25,NA,NA,NA,NA,NA,NA,NA,NA
514,"514","Whyalla-Cowled's Landing","AUS","Australia",32.81,32.81,32.81,32.81,36,NA,32.81,32.81,36.32,36.32,36.4796319546,36.47714452905,36.477127445
522,"522","Maria Island","AUS","Australia",NA,NA,NA,NA,115.5,NA,NA,NA,NA,NA,NA,NA,NA
522,"522_A","Maria Island","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,"522_B","Maria Island","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8284506944
525,"525","Narawntapu","AUS","Australia",NA,NA,NA,NA,43.49,NA,NA,NA,NA,NA,NA,NA,NA
527,"527","Rocky Cape","AUS","Australia",NA,NA,NA,NA,30.573,NA,NA,NA,NA,NA,NA,NA,NA
549,"549","The Lakes National Park","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,"557","Cape Arid","AUS","Australia",2793.82,2793.82,2793.82,NA,2794.458,NA,NA,NA,NA,NA,NA,NA,NA
558,"558","Fitzgerald River","AUS","Australia",3298.82,3298.82,3298.82,NA,3298.8189,NA,NA,NA,NA,NA,NA,NA,NA
558,"558_A","Fitzgerald River","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,"558_B","Fitzgerald River","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,"558_C","Fitzgerald River","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,"563","Cape Range","AUS","Australia",505.81,505.81,505.81,NA,476.55,NA,NA,NA,NA,NA,NA,NA,NA
566,"566","Cape Le Grand","AUS","Australia",318.01,318.01,318.01,NA,318.0081,NA,NA,NA,NA,NA,NA,NA,NA
566,"566_A","Cape Le Grand","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,"566_B","Cape Le Grand","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,"570","Yalgorup","AUS","Australia",130.24,130.24,130.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,"571","Stokes","AUS","Australia",97.26,97.26,97.26,NA,97.2646,NA,NA,NA,NA,NA,NA,NA,NA
577,"577","Torndirrup","AUS","Australia",38.81,38.81,38.81,NA,39.3632,NA,NA,NA,NA,NA,NA,NA,NA
